#{"t_start": 1701352615.340073, "env_id": "None"}
r,l,t
-454.233671,200,11.506233
-538.626615,200,22.701578
-530.626615,200,34.26218
-363.284001,200,44.928435
-566.626615,200,55.185499
-600.626615,200,66.208786
-562.626615,200,77.937812
-492.884299,200,87.828088
-571.626615,200,99.187077
-574.626615,200,110.139036
