#{"t_start": 1701353596.4049072, "env_id": "None"}
r,l,t
-403.763828,200,11.8321
-307.318137,200,21.056319
-440.167141,200,32.515724
-464.445956,200,42.845948
-548.626615,200,53.073899
-303.428273,200,65.018348
-614.626615,200,75.349602
-465.414451,200,86.164766
-412.035681,200,97.409764
-431.493945,200,108.309038
